ConstructionYear,TradePriceCAD
1946.0,306318.75
1947.0,268814.28571428574
1948.0,111228.0
1949.0,389404.2857142856
1950.0,504266.6666666667
1951.0,248775.0
1952.0,269699.99999999994
1953.0,245315.39999999997
1954.0,124930.0
1955.0,320850.0
1956.0,34242.6
1957.0,62000.0
1958.0,251471.99999999994
1959.0,197950.49999999997
1960.0,120714.0
1961.0,115538.82352941175
1962.0,126086.53846153844
1963.0,119791.91489361702
1964.0,161862.33103448275
1965.0,136775.24607329842
1966.0,123519.91005291005
1967.0,94376.59717314488
1968.0,110212.45117676513
1969.0,112148.68250235182
1970.0,129650.01271186439
1971.0,137731.22321644498
1972.0,115481.36950021358
1973.0,97907.7503526093
1974.0,88450.51577962021
1975.0,93201.71047526674
1976.0,112429.4739884393
1977.0,112425.18019205422
1978.0,133438.0044274809
1979.0,132674.85753441582
1980.0,130652.77578947367
1981.0,127650.11181612941
1982.0,138057.18057699158
1983.0,142628.33944954126
1984.0,130889.64202065364
1985.0,127297.11808829324
1986.0,128595.11425840853
1987.0,125998.00390595656
1988.0,112354.26552754676
1989.0,113143.08877274414
1990.0,111911.51547631495
1991.0,109754.9736155421
1992.0,123215.61416314592
1993.0,139840.635648373
1994.0,147425.4509347494
1995.0,167009.94202624896
1996.0,186779.055236578
1997.0,201171.20007703733
1998.0,218830.07142857142
1999.0,226405.9403955749
2000.0,253839.97626791592
2001.0,251340.25258075257
2002.0,255763.20022521314
2003.0,273931.5070422535
2004.0,283826.86117943143
2005.0,296480.25811992504
2006.0,269589.39466229314
2007.0,266744.68487839267
2008.0,280968.1657120088
2009.0,299397.53479773813
2010.0,320805.58335228567
2011.0,322795.2350052091
2012.0,325089.58058975096
2013.0,330800.78711040673
2014.0,345979.20716876467
2015.0,376914.76019492175
2016.0,341895.27067669167
2017.0,315787.34365693864
2018.0,322808.42729970324
2019.0,318424.17475728155
