FloorPlan,TradePriceCAD
1DK,148419.64073639168
1K,123993.35708924053
1LDK,247807.62793919884
1LDK+S,273162.13213213213
1R,82109.28927444795
2DK,146445.84924449824
2DK+S,143202.99049881235
2K,115196.78310104528
2LDK,239011.07783137422
2LDK+S,231050.32504239684
3DK,100360.70387445696
3K,76143.74999999999
3LDK,211340.7723330467
3LDK+S,237007.09219858152
4DK,80537.53558052433
4K,69262.85714285714
4LDK,224773.9625500643
4LDK+S,231452.98013245032
5LDK,214627.46134020618
Open Floor,177766.6229929351
Other,161723.1818181818
