PrefectureName,TradePriceCAD
Aichi,152700.4592
Akita,111739.7703
Aomori,113862.504
Chiba,170324.489
Ehime,118768.7674
Fukui,131513.8187
Fukuoka,127047.0939
Fukushima,116736.2478
Gifu,137846.7965
Gunma,112621.6935
Hiroshima,149358.8363
Hokkaido,117173.0646
Hyogo,172446.1761
Ibaraki,146151.6996
Ishikawa,120514.0966
Iwate,109573.5922
Kagawa,107615.6389
Kagoshima,155014.0201
Kanagawa,215395.2608
Kochi,115467.757
Kumamoto,122819.6085
Kyoto,172158.5183
Mie,141617.2804
Miyagi,135278.9447
Miyazaki,117469.1629
Nagano,161021.3398
Nagasaki,159525.3852
Nara,130606.1499
Niigata,111067.2659
Oita,105617.3879
Okayama,134073.1372
Okinawa,205051.7573
Osaka,168314.7645
Saga,112352.939
Saitama,173240.9354
Shiga,163456.4125
Shimane,148741.2069
Shizuoka,135778.8782
Tochigi,126473.6553
Tokushima,105601.5
Tokyo,269855.9407
Tottori,111341.4099
Toyama,136282.0278
Wakayama,120020.5378
Yamagata,138015.3614
Yamaguchi,126736.669
Yamanashi,109524.572
